d,res,nq,all,init,config,cons_gen,cons_sol
3,false,9,0.07724905014038086,6.914138793945312e-5,0.07190203666687012,0.0005669593811035156,0.0047109127044677734
5,false,25,0.13070201873779297,8.893013000488281e-5,0.12284398078918457,0.001978158950805664,0.0057909488677978516
7,false,49,0.24934983253479004,0.00017189979553222656,0.23853206634521484,0.00535893440246582,0.0052869319915771484
9,false,81,0.40651988983154297,0.00017499923706054688,0.3832108974456787,0.017568111419677734,0.0055658817291259766
11,false,121,0.5351970195770264,0.0002810955047607422,0.5015048980712891,0.028074979782104492,0.00533604621887207
